Light Intensity, Ch A vs Position, Ch 1&2, Run #1
Position, Ch 1&2 ( m )	Light Intensity, Ch A ( % max )
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.7
0.000	1.7
0.000	1.7
0.000	1.7
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.7
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.8
0.000	1.7
0.000	1.8
0.000	1.8
